VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018-04-01 00:36:40,2018-04-01 00:53:17,3,3.10,1,N,255,189,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2018-04-01 00:57:58,2018-04-01 01:08:50,1,1.90,1,N,189,181,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2018-04-01 00:12:19,2018-04-01 00:15:20,1,.61,1,N,48,50,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2018-04-01 00:31:50,2018-04-01 00:36:51,1,.48,1,N,230,48,2,5,0.5,0.5,0,0,0.3,6.3
2,2018-03-31 23:59:10,2018-04-01 00:09:12,5,2.22,1,N,142,151,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2018-04-01 00:35:44,2018-04-01 00:42:20,4,1.51,1,N,186,48,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018-04-01 00:44:17,2018-04-01 00:51:21,5,3.04,1,N,48,24,2,10,0.5,0.5,0,0,0.3,11.3
1,2018-04-01 00:00:11,2018-04-01 00:04:34,1,.70,1,N,142,163,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-04-01 00:21:33,2018-04-01 00:31:47,1,2.90,1,N,48,140,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2018-04-01 00:50:57,2018-04-01 01:02:16,1,2.10,1,N,137,141,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2018-03-31 17:56:19,2018-03-31 18:05:10,1,1.61,1,N,113,170,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,2018-04-01 00:15:50,2018-04-01 00:46:41,1,11.30,1,N,41,25,2,35.5,0.5,0.5,0,0,0.3,36.8
1,2018-04-01 00:10:58,2018-04-01 00:15:20,1,1.30,1,N,239,48,1,6,0.5,0.5,1.8,0,0.3,9.1
1,2018-04-01 00:40:50,2018-04-01 00:54:47,2,3.70,1,N,164,263,1,13.5,0.5,0.5,3.7,0,0.3,18.5
1,2018-04-01 00:26:50,2018-04-01 01:20:01,1,10.50,1,N,181,181,1,41,0.5,0.5,8.45,0,0.3,50.75
1,2018-04-01 00:04:21,2018-04-01 00:21:44,2,3.70,1,N,142,226,1,15,0.5,0.5,3.25,0,0.3,19.55
1,2018-04-01 00:26:53,2018-04-01 00:36:58,2,1.50,1,N,226,145,4,9,0.5,0.5,0,0,0.3,10.3
1,2018-04-01 00:23:46,2018-04-01 00:30:17,2,1.20,1,N,158,186,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2018-04-01 00:40:20,2018-04-01 01:07:04,2,8.10,1,N,230,25,1,26.5,0.5,0.5,5.55,0,0.3,33.35
1,2018-04-01 00:06:56,2018-04-01 00:23:24,2,4.10,1,N,236,107,2,15.5,0.5,0.5,0,0,0.3,16.8
1,2018-04-01 00:43:28,2018-04-01 00:59:48,1,2.70,1,N,79,186,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018-04-01 00:18:42,2018-04-01 00:33:18,2,2.80,1,N,97,195,1,12.5,0.5,0.5,3.45,0,0.3,17.25
1,2018-04-01 00:59:27,2018-04-01 01:08:37,1,3.30,1,N,246,238,1,11,0.5,0.5,2.45,0,0.3,14.75
2,2018-04-01 00:36:10,2018-04-01 00:39:26,1,.67,1,N,237,237,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2018-04-01 00:41:21,2018-04-01 00:54:39,1,4.12,1,N,237,260,1,14.5,0.5,0.5,3.16,0,0.3,18.96
1,2018-04-01 00:36:07,2018-04-01 00:41:43,2,1.20,1,N,142,43,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,2018-04-01 00:04:40,2018-04-01 00:13:46,1,1.09,1,N,162,186,1,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-04-01 00:27:51,2018-04-01 00:41:27,1,2.40,1,N,186,144,1,11,0.5,0.5,0,0,0.3,12.3
1,2018-04-01 00:18:07,2018-04-01 00:30:39,1,3.00,1,N,141,79,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2018-04-01 00:50:56,2018-04-01 00:57:18,1,1.30,1,N,90,164,1,6.5,0.5,0.5,2,0,0.3,9.8
1,2018-04-01 00:59:07,2018-04-01 01:12:35,1,3.20,1,N,164,13,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018-04-01 00:13:51,2018-04-01 00:27:17,1,2.80,1,N,163,79,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2018-04-01 00:28:34,2018-04-01 00:58:20,1,6.00,1,N,79,188,1,24.5,0.5,0.5,5.15,0,0.3,30.95
2,2018-04-01 00:32:41,2018-04-01 00:45:13,1,1.39,1,N,114,148,1,9,0.5,0.5,1.8,0,0.3,12.1
1,2018-04-01 00:24:08,2018-04-01 00:44:15,2,11.30,1,N,186,220,2,31.5,0.5,0.5,0,0,0.3,32.8
1,2018-04-01 00:26:17,2018-04-01 00:31:41,1,.50,1,N,113,107,2,5,0.5,0.5,0,0,0.3,6.3
2,2018-04-01 00:13:32,2018-04-01 00:29:13,3,7.41,1,N,140,244,1,22.5,0.5,0.5,5,0,0.3,28.8
2,2018-04-01 00:44:51,2018-04-01 00:47:53,2,.76,1,N,262,140,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2018-04-01 00:07:52,2018-04-01 00:29:43,1,4.20,1,N,164,145,1,17.5,0.5,0.5,3.75,0,0.3,22.55
